item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
755c99a8-3ef5-45e1-b74d-5da59d3a54d8,4ce2d247-3e6c-4b23-ad0e-f82612027724,1,計算 [(8+10)×5/9]÷(-6/5) + |-2×(-5/3)-5| 的值。,,-20/3,PASS,,1,6.0,7.5,18.5,10.0,8.5,10.8,5,3,1,1.8,29.3,0.0,0.0,True,5,0.0,9,0,442,0,"✓ 標準形式 | ✗ 小數形式 (期望True, 得False) | ✓ 省略乘號 | ✓ 明顯錯誤",PASS,0.0
ddbc1d2d-f685-44ab-b324-326b26dafc94,4ce2d247-3e6c-4b23-ad0e-f82612027724,2,計算 [(-10+7)×1]÷(-1) + |-3×3/7+2| 的值。,,26/7,PASS,,1,6.0,7.5,18.5,10.0,8.5,10.4,5,3,1,1.4,28.9,0.0,0.0,True,5,0.0,7,0,442,0,"✓ 標準形式 | ✗ 小數形式 (期望True, 得False) | ✓ 省略乘號 | ✓ 明顯錯誤",PASS,0.0
cb2a31bd-6057-4300-a112-284d61eaa171,4ce2d247-3e6c-4b23-ad0e-f82612027724,3,計算 [(3+5)×8/7]÷(-2/7) + |3×(-1/7)-6| 的值。,,-179/7,PASS,,1,6.0,7.5,18.5,10.0,8.5,10.6,5,3,1,1.6,29.1,0.0,0.0,True,5,0.0,8,0,442,0,"✓ 標準形式 | ✗ 小數形式 (期望True, 得False) | ✓ 省略乘號 | ✓ 明顯錯誤",PASS,0.0
4c6a7a07-7a1d-400d-ab97-b9dc3fbdd601,d38aaafc-8b53-40ab-bc39-c9309190085e,1,計算 [(-5-1)×(-1/5)]÷(-5/6) + |-4×3/5+9| 的值。,,129/25,PASS,,1,6.0,7.5,18.5,10.0,8.5,10.8,5,3,1,1.8,29.3,0.0,0.0,True,5,0.0,9,0,470,1,"✓ 標準形式 | ✗ 小數形式 (期望True, 得False) | ✓ 省略乘號 | ✓ 明顯錯誤",PASS,0.0
9bcd907a-9c45-46a6-83b9-1c21c9035103,d38aaafc-8b53-40ab-bc39-c9309190085e,2,計算 [(2-2)×(-1/8)]÷(-6/7) + |-6×7/5+2| 的值。,,32/5,PASS,,1,6.0,7.5,18.5,10.0,8.5,10.6,5,3,1,1.6,29.1,0.0,0.0,True,5,0.0,8,0,470,1,"✓ 標準形式 | ✗ 小數形式 (期望True, 得False) | ✓ 省略乘號 | ✓ 明顯錯誤",PASS,0.0
fb28021c-5974-4b4b-a0eb-20b9b1ca60f8,d38aaafc-8b53-40ab-bc39-c9309190085e,3,計算 [(-3+8)×2/7]÷(-5/8) + |8×2/9+3| 的值。,,157/63,PASS,,1,6.0,7.5,18.5,10.0,8.5,10.2,5,3,1,1.2,28.7,0.0,0.0,True,5,0.0,6,0,470,1,"✓ 標準形式 | ✗ 小數形式 (期望True, 得False) | ✓ 省略乘號 | ✓ 明顯錯誤",PASS,0.0
734b3f12-046a-4cd2-ad17-09d6f24d5a32,a2bc8188-1477-4046-b492-fd80aded6ecf,1,計算 [(8+9)×1]÷(-7/2) + |5×(-1)-2| 的值。,,15/7,PASS,,1,6.0,7.5,18.5,10.0,8.5,10.4,5,3,1,1.4,28.9,0.0,0.0,True,5,0.0,7,0,510,1,"✓ 標準形式 | ✗ 小數形式 (期望True, 得False) | ✓ 省略乘號 | ✓ 明顯錯誤",PASS,0.0
954c453b-83f6-4aab-a884-7843622a3026,a2bc8188-1477-4046-b492-fd80aded6ecf,2,計算 [(-2-7)×5/6]÷6/5 + |9×1/2+4| 的值。,,9/4,PASS,,1,6.0,7.5,13.0,10.0,3.0,10.2,5,3,1,1.2,23.2,0.0,0.0,False,5,0.0,6,0,510,1,"✓ 標準形式 | ✗ 小數形式 (期望True, 得False) | ✓ 省略乘號 | ✓ 明顯錯誤",PASS,0.0
30130f3a-7565-433f-8dad-6178bae1308c,a2bc8188-1477-4046-b492-fd80aded6ecf,3,計算 [(3-2)×3/2]÷(-1) + |9×1/2+4| 的值。,,7,PASS,,1,6.0,7.5,20.0,10.0,10.0,10.0,5,3,1,1.0,30.0,0.0,0.0,True,5,0.0,5,0,510,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
3d20c069-abb6-428b-a23a-793f970c48f4,2d83f578-900f-4cb5-9914-11c0b0e1b185,1,計算 [(7+10)×4/3]÷(-7/9) + |-1×(-1/3)-6| 的值。,,-493/21,PASS,,1,6.0,7.5,18.5,10.0,8.5,10.8,5,3,1,1.8,29.3,0.0,0.0,True,5,0.0,9,0,379,0,"✓ 標準形式 | ✗ 小數形式 (期望True, 得False) | ✓ 省略乘號 | ✓ 明顯錯誤",PASS,0.0
4ab86da9-4cf0-4661-989d-55b7a21d464d,2d83f578-900f-4cb5-9914-11c0b0e1b185,2,計算 [(-6+4)×-7/4]÷4/7 + |6×(-5/9)-7| 的值。,,395/24,PASS,,1,6.0,7.5,13.0,10.0,3.0,10.6,5,3,1,1.6,23.6,0.0,0.0,False,5,0.0,8,0,379,0,"✓ 標準形式 | ✗ 小數形式 (期望True, 得False) | ✓ 省略乘號 | ✓ 明顯錯誤",PASS,0.0
