item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,complexity_math_ops,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
97ed41ee-bbe9-4cb4-b7cd-2e101b84c329,e1218051-bfd1-4afe-8e20-d58322acdba8,1,已知 f(x) = 4x^2 + x - 7，求 f'(x) 與 f''(x) 的值。,,"-2x^2 + x, -14x^2",PASS,,1,10,10,30,15,15,28,10,8,10,0,379,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
e987b678-e759-49d4-bc5e-12f23e7db333,e1218051-bfd1-4afe-8e20-d58322acdba8,2,已知 f(x) = 8x^2 + x - 9，求 f'(x) 與 f''(x) 的值。,,"9x^2 + x, -18x^2",PASS,,1,10,10,30,15,15,28,10,8,10,0,379,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
3799e852-a077-4bb7-86bc-ef4728285a0e,e1218051-bfd1-4afe-8e20-d58322acdba8,3,已知 f(x) = 6x^2 + x + 10，求 f'(x) 與 f''(x) 的值。,,"5x^2 + x, 20x^2",PASS,,1,10,10,30,15,15,28,10,8,10,0,379,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
d32c62af-a55c-4fb7-8a7e-ac11754163d6,e1218051-bfd1-4afe-8e20-d58322acdba8,4,已知 f(x) = -2x^2 + x - 10，求 f'(x) 與 f''(x) 的值。,,"10x^2 + x, -20x^2",PASS,,1,10,10,30,15,15,28,10,8,10,0,379,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
c11f7dc0-dd5d-46e1-9f67-9df04577f51f,e1218051-bfd1-4afe-8e20-d58322acdba8,5,已知 f(x) = -10x^4 - 10x^3 + 8x^2 + x - 6，求 f'(x) 與 f''(x) 的值。,,"-10x^4 + 16x^3 + 18x^2 + x, 16x^4 + 36x^3 - 72x^2",PASS,,1,10,10,30,15,15,28,10,8,10,0,379,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
f05c6f70-ffc8-4eea-9dbd-87a6d0ca69dc,e1218051-bfd1-4afe-8e20-d58322acdba8,6,已知 f(x) = -1x^4 + 7x^3 + 2x^2 + x + 9，求 f'(x) 與 f''(x) 的值。,,"7x^4 + 4x^3 - 9x^2 + x, 4x^4 - 18x^3 + 108x^2",PASS,,1,10,10,30,15,15,26,10,7,9,0,379,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
54ab8bd2-3329-4aac-a6b0-46c8d0f5c80a,e1218051-bfd1-4afe-8e20-d58322acdba8,7,已知 f(x) = 3x^2 + x + 6，求 f'(x) 與 f''(x) 的值。,,"-10x^2 + x, 12x^2",PASS,,1,10,10,30,15,15,28,10,8,10,0,379,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
ac885420-129e-4423-a313-7a042578b5a7,e1218051-bfd1-4afe-8e20-d58322acdba8,8,已知 f(x) = -2x^4 + 4x^3 + 9x^2 + x + 3，求 f'(x) 與 f''(x) 的值。,,"4x^4 + 18x^3 - 15x^2 + x, 18x^4 - 30x^3 + 36x^2",PASS,,1,10,10,30,15,15,28,10,8,10,0,379,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
7a302537-4800-456e-8cdd-c74d56fa2769,e1218051-bfd1-4afe-8e20-d58322acdba8,9,已知 f(x) = -10x^2 + x + 1，求 f'(x) 與 f''(x) 的值。,,"-10x^3 - 16x^2 + x, -16x^3 + 6x^2",PASS,,1,10,10,30,15,15,28,10,8,10,0,379,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
30f84c42-368d-4004-86fd-9f9eb25cdb23,e1218051-bfd1-4afe-8e20-d58322acdba8,10,已知 f(x) = -10x^2 + x - 6，求 f'(x) 與 f''(x) 的值。,,"3x^2 + x, -12x^2",PASS,,1,10,10,30,15,15,28,10,8,10,0,379,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
3dfe101f-e3be-4acf-bcf1-ddfad5071c43,e1218051-bfd1-4afe-8e20-d58322acdba8,11,已知 f(x) = -6x^4 - 8x^3 - 7x^2 + x - 7，求 f'(x) 與 f''(x) 的值。,,"-8x^4 - 14x^3 + 24x^2 + x, -14x^4 + 48x^3 - 84x^2",PASS,,1,10,10,30,15,15,28,10,8,10,0,379,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
