item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
ddce9683-45e0-44d6-8bd3-36793d238846,1475be99-4de8-45ac-a604-d3d0585005bc,1,計算 $$[(1 \times 3) + 11] \div 2 + |(-8) \times (-7) - 3|$$ 的值。,,60,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
72297734-ac04-4b9f-b6ac-f9802c537a7d,1475be99-4de8-45ac-a604-d3d0585005bc,2,計算 $$[(14 \times 5) + 8] \div 6 + |(-3) \times (-4) - 16|$$ 的值。,,17,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
13d5eb50-00ac-4db9-ba5e-f33421002a52,1475be99-4de8-45ac-a604-d3d0585005bc,3,計算 $$[(2 \times 3) + (-4)] \div 2 + |15 \times (-6) - 17|$$ 的值。,,108,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
3d2e462e-a9a7-49eb-b849-e001517c4fce,c99b8b1a-d96f-4ed5-a88c-fab81664635d,1,計算 $$[(6 \times 5) + (-16)] \div 7 + |14 \times 3 - 18|$$ 的值。,,26,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.85,5,3,5,2.6,41.85,0.0,0.0,True,15,6.25,13,5,3512,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
6391e8dc-5509-4624-88c9-e4a81a5258fc,c99b8b1a-d96f-4ed5-a88c-fab81664635d,2,計算 $$[((-37) \times 3) + 12] \div 9 + |5 \times 9 - 2|$$ 的值。,,32,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.85,5,3,5,2.6,41.85,0.0,0.0,True,15,6.25,13,5,3512,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
3a3634e5-9e4a-4825-9e68-4b8e35166555,c99b8b1a-d96f-4ed5-a88c-fab81664635d,3,計算 $$[((-29) \times 4) + (-19)] \div 9 + |1 \times 8 - 13|$$ 的值。,,-10,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3512,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
74e06a14-8bb0-42c9-891a-e9a0fa63e6c2,1c57d127-01e7-4ae4-ab5f-1cc5a853615e,1,計算 $$[((-38) \times 2) + (-8)] \div 6 + |(-9) \times (-6) - 6|$$ 的值。,,34,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.45,5,3,5,3.2,42.45,0.0,0.0,True,15,6.25,16,5,3512,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
a9aae916-28e9-4476-937a-229b7a1d4fc2,1c57d127-01e7-4ae4-ab5f-1cc5a853615e,2,計算 $$[(55 \times 2) + (-6)] \div 8 + |14 \times (-2) - 16|$$ 的值。,,57,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3512,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
ccb73916-4802-4f47-8e9d-8416863bd3b0,1c57d127-01e7-4ae4-ab5f-1cc5a853615e,3,計算 $$[((-38) \times 2) + 4] \div 9 + |(-7) \times (-2) - 12|$$ 的值。,,-6,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3512,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
3e609271-93dc-4223-9efe-e17a5c1c9752,cdbeb3ee-7162-42b4-acf6-f176452ed5bc,1,計算 $$[((-35) \times 3) + 15] \div 9 - |(-1) \times (-9) - 7| + ((-12) \times 3 - 2)$$ 的值。,,-50,PASS,,1,6.0,7.5,20.0,10.0,10.0,24.1,5,3,5,3.6,44.1,0.0,0.0,True,15,7.5,18,6,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
e71bf657-3d96-4262-8ddf-92473bcffbc6,cdbeb3ee-7162-42b4-acf6-f176452ed5bc,2,計算 $$[(4 \times 3) + 12] \div 4 - |2 \times 1 - 1| + (2 \times 5 - 2)$$ 的值。,,13,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.3,5,3,5,2.8,43.3,0.0,0.0,True,15,7.5,14,6,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
