item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,student_input_test,student_input_result,exec_time_ms
5a34431c-7e79-45f0-a77a-ed01b46dfde0,2aafbb02-c656-49a3-86d9-32dd3d60a0c7,1,已知 f(x) = 7x^4 - 8x^3 + 10x^2 + x - 7，求 f'(x) 與 f''(x) 的值。,,"-8x^4 + 20x^3 + 18x^2 + x, 20x^4 + 36x^3 - 84x^2",PASS,,1,10,10,30,15,15,27,15,12,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
d5762656-3671-486c-bcb6-b47a2c73523d,2aafbb02-c656-49a3-86d9-32dd3d60a0c7,2,已知 f(x) = 3x^4 + 3x^3 - 9x^2 + x - 5，求 f'(x) 與 f''(x) 的值。,,"3x^4 - 18x^3 + 30x^2 + x, -18x^4 + 60x^3 - 60x^2",PASS,,1,10,10,30,15,15,27,15,12,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
cabe3835-10a1-43ed-821b-99884f93b15c,2aafbb02-c656-49a3-86d9-32dd3d60a0c7,3,已知 f(x) = 1x^3 - 6x^2 + x + 9，求 f'(x) 與 f''(x) 的值。,,"-6x^3 + 2x^2 + x, 2x^3 + 54x^2",PASS,,1,10,10,30,15,15,26,15,11,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
8b01a509-fd67-4a3d-b2f5-3d21d4d2046a,2aafbb02-c656-49a3-86d9-32dd3d60a0c7,4,已知 f(x) = -6x^2 + x，求 f'(x) 與 f''(x) 的值。,,"-3x^2, ",PASS,,1,10,10,30,15,15,27,15,12,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
44f79fce-01eb-491c-9b39-99ec81b15778,2aafbb02-c656-49a3-86d9-32dd3d60a0c7,5,已知 f(x) = 1x^4 + 4x^3 + 1x^2 + x - 3，求 f'(x) 與 f''(x) 的值。,,"4x^4 + 2x^3 - 3x^2 + x, 2x^4 - 6x^3 - 36x^2",PASS,,1,10,10,30,15,15,26,15,11,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
b26a3508-3ae4-409a-a868-a71aba5592c0,2aafbb02-c656-49a3-86d9-32dd3d60a0c7,6,已知 f(x) = -3x^2 + x - 5，求 f'(x) 與 f''(x) 的值。,,"9x^2 + x, -10x^2",PASS,,1,10,10,30,15,15,27,15,12,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
053b8484-443d-4271-b915-5aedd9accbd8,2aafbb02-c656-49a3-86d9-32dd3d60a0c7,7,已知 f(x) = 7x^2 + x - 3，求 f'(x) 與 f''(x) 的值。,,"9x^2 + x, -6x^2",PASS,,1,10,10,30,15,15,27,15,12,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
8a394a5a-5e05-49c9-a512-b5f6073b3cc3,2aafbb02-c656-49a3-86d9-32dd3d60a0c7,8,已知 f(x) = -1x^2 + x + 10，求 f'(x) 與 f''(x) 的值。,,"3x^2 + x, 20x^2",PASS,,1,10,10,30,15,15,26,15,11,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
d915cbac-75b5-419f-8f92-0eb0e961d607,2aafbb02-c656-49a3-86d9-32dd3d60a0c7,9,已知 f(x) = -5x^4 - 1x^3 + 7x^2 + x + 4，求 f'(x) 與 f''(x) 的值。,,"-1x^4 + 14x^3 - 27x^2 + x, 14x^4 - 54x^3 + 48x^2",PASS,,1,10,10,30,15,15,26,15,11,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
d201b79d-f5a3-4e8a-9e1d-a4a787374300,2aafbb02-c656-49a3-86d9-32dd3d60a0c7,10,已知 f(x) = 3x^3 - 8x^2 + x - 10，求 f'(x) 與 f''(x) 的值。,,"-8x^3 + 16x^2 + x, 16x^3 - 60x^2",PASS,,1,10,10,30,15,15,27,15,12,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
ee0f7d1a-cb12-479b-bbb5-0d3ea9042ee7,2aafbb02-c656-49a3-86d9-32dd3d60a0c7,11,已知 f(x) = -5x^4 + 5x^3 + 10x^2 + x + 9，求 f'(x) 與 f''(x) 的值。,,"5x^4 + 20x^3 + 24x^2 + x, 20x^4 + 48x^3 + 108x^2",PASS,,1,10,10,30,15,15,27,15,12,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
