item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
1b56709a-ac25-4aed-ae75-74cc1b65350c,6b164817-4762-4ab7-b17c-4adb6110ca65,1,計算 $$[(4 \times 3) + 12] \div 3 + |(-7) \times (-5) - 18|$$ 的值。,,25,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3579,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
5d5ea561-6faf-40f6-9b6b-9fd352810565,6b164817-4762-4ab7-b17c-4adb6110ca65,2,計算 $$[((-15) \times 5) + (-2)] \div 7 + |7 \times (-1) - 12|$$ 的值。,,8,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3579,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
368d60b4-c21e-4359-af99-be1a70b97ed0,6b164817-4762-4ab7-b17c-4adb6110ca65,3,計算 $$[((-3) \times 5) + 25] \div 5 + |(-6) \times (-7) - 16|$$ 的值。,,28,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3579,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
99b416d8-ffdf-4273-a472-15247c0207d8,02dc4d2d-57ee-4745-b104-41e4b7df44dc,1,計算 $$[((-12) \times 3) + (-9)] \div 9 + |14 \times 5 - 10|$$ 的值。,,55,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3579,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
3fb3844c-0f2a-4135-a24f-27e117647407,02dc4d2d-57ee-4745-b104-41e4b7df44dc,2,計算 $$[(13 \times 4) + (-4)] \div 4 + |13 \times (-9) - 17|$$ 的值。,,146,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3579,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
d2e5b246-ec7a-4ff9-aab9-6d68457e7a0f,02dc4d2d-57ee-4745-b104-41e4b7df44dc,3,計算 $$[((-19) \times 2) + 11] \div 9 + |2 \times 10 - 17|$$ 的值。,,0,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.85,5,3,5,2.6,41.85,0.0,0.0,True,15,6.25,13,5,3579,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
19ed8cf2-01b1-4fc0-8798-74df4dd5a974,fcfd6de0-98e8-4539-8cfb-6e15c0ece8e7,1,計算 $$[((-27) \times 2) + (-2)] \div 4 + |(-9) \times 1 - 18|$$ 的值。,,13,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3579,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
879cccd5-213d-43d5-b1cc-b62d03fcd180,fcfd6de0-98e8-4539-8cfb-6e15c0ece8e7,2,計算 $$[(50 \times 3) + 0] \div 10 + |12 \times 8 - 10|$$ 的值。,,101,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.45,5,3,5,2.2,41.45,0.0,0.0,True,15,6.25,11,5,3579,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
4a2a3d59-ac5a-454e-ab68-1f6919b618f5,fcfd6de0-98e8-4539-8cfb-6e15c0ece8e7,3,計算 $$[((-13) \times 3) + (-1)] \div 4 + |5 \times 10 - 1|$$ 的值。,,39,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3579,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
3585ceca-902f-446f-a6b4-9032733cccbe,bcdaae1a-867d-41fc-9b9c-72cdaa49bacf,1,計算 $$[(1 \times 2) + 3] \div 5 - |12 \times (-3) - 5 + 4| + (7 \times 4^{2} - 6)$$ 的值。,,70,PASS,,1,6.0,7.5,13.0,10.0,3.0,24.5,5,4,5,3.0,37.5,0.0,0.0,False,15,7.5,15,6,3579,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
69ca7dab-9dbe-4047-a7a0-baec09cb9afd,bcdaae1a-867d-41fc-9b9c-72cdaa49bacf,2,計算 $$[((-5) \times 5) + (-7)] \div 8 - |6 \times 9 - 5 + (-3)| + ((-3) \times 4^{2} - 18)$$ 的值。,,-116,PASS,,1,6.0,7.5,13.0,10.0,3.0,25.3,5,4,5,3.8,38.3,0.0,0.0,False,15,7.5,19,6,3579,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
