item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
16df2da6-7976-4b04-98b3-caa6e537b85a,43d5e2b3-c580-4ffe-b5cd-95e4394f4063,1,計算 $$[((-21) \times 3) + 14] \div 7 + |5 \times (-7) - 20|$$ 的值。,,48,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
19d9c300-ae8e-4aab-ab66-53906d3a86e6,43d5e2b3-c580-4ffe-b5cd-95e4394f4063,2,計算 $$[(6 \times 4) + (-8)] \div 8 + |6 \times (-8) - 10|$$ 的值。,,60,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
2b3e3eda-5e83-4062-9434-493c93e87748,43d5e2b3-c580-4ffe-b5cd-95e4394f4063,3,計算 $$[(12 \times 4) + 12] \div 6 + |12 \times 8 - 16|$$ 的值。,,90,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.65,5,3,5,2.4,41.65,0.0,0.0,True,15,6.25,12,5,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
9c4e9171-fb66-4cba-a7cc-7fd4359574a0,21cffe3e-c26b-427b-8cde-a0446d01d6d1,1,計算 $$[(12 \times 5) + (-24)] \div 3 + |(-4) \times (-1) - 2|$$ 的值。,,14,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
ca729513-7f04-48d0-923b-a2a7c4385d3c,21cffe3e-c26b-427b-8cde-a0446d01d6d1,2,計算 $$[(19 \times 2) + 11] \div 7 + |3 \times 3 - 17|$$ 的值。,,15,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.65,5,3,5,2.4,41.65,0.0,0.0,True,15,6.25,12,5,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
77a83911-1bfb-44e9-bcea-f57ada727cf9,21cffe3e-c26b-427b-8cde-a0446d01d6d1,3,計算 $$[(1 \times 3) + 2] \div 5 + |11 \times 5 - 9|$$ 的值。,,47,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.65,5,3,5,2.4,41.65,0.0,0.0,True,15,6.25,12,5,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
235d4a85-1908-405d-b4a7-a8e2f1c529c2,484bf33a-e63b-4dec-840a-87a590a6f935,1,計算 $$[(12 \times 4) + (-13)] \div 5 + |(-2) \times (-9) - 2|$$ 的值。,,23,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
6e46d225-e9a7-49ee-b18f-a1de2d01f33e,484bf33a-e63b-4dec-840a-87a590a6f935,2,計算 $$[(7 \times 5) + (-11)] \div 4 + |2 \times (-5) - 8|$$ 的值。,,24,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.05,5,3,5,2.8,42.05,0.0,0.0,True,15,6.25,14,5,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
9f9c0b57-87f4-4fba-bb41-94c4c7337f65,484bf33a-e63b-4dec-840a-87a590a6f935,3,計算 $$[((-6) \times 2) + (-8)] \div 2 + |12 \times (-10) - 13|$$ 的值。,,123,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
2f7e2078-20cf-4b6e-872e-e9dae56881a9,cd34c4ac-2130-4346-9208-00e52ea9edce,1,計算 $$[(35 \times 5) + 23] \div 18 - |7 \times (-4) - 15| + (8 \times 3 - 1)$$ 的值。,,-9,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.5,5,3,5,3.0,43.5,0.0,0.0,True,15,7.5,15,6,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
