run_id,task_id,seed,generation_id,treatment,observed_status,pipeline_corrected_status,observed_syntax_compile_status,pipeline_corrected_syntax_compile_status,observed_runtime_timeout_status,pipeline_corrected_runtime_timeout_status,observed_evalplus_pass,pipeline_corrected_evalplus_pass,observed_output_sha256,pipeline_corrected_output_sha256,scaffold_sha256,evaluator_version,evaluator_engine
mbpp_qwen35_9b_scaffold_v0_dev_run_002,Mbpp/633,11,e850f9af7daaedc378f76e240a7d93880788db5279ad415e718f3178f9c3b8b1,P1_Generic_Code_Scaffold_v0,fail,fail,pass,pass,failure,failure,false,false,8b716a53c5155aba69c9c3ee6dcfed0e5ff7cdabbc8dc00d6669469663a5134c,8b716a53c5155aba69c9c3ee6dcfed0e5ff7cdabbc8dc00d6669469663a5134c,31969abe8799b1846c488d3f7fca558af79875c7eb90ab76db7a6b62ad263305,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_qwen35_9b_scaffold_v0_dev_run_002,Mbpp/633,22,f762d512cd3265ef781752712ea82091e490a1143edef736754234419a30126a,P1_Generic_Code_Scaffold_v0,fail,fail,pass,pass,failure,failure,false,false,fd519df1b69e24edb1e76b75e3c2fbe5bec7daf1d82ddba74e144187302bec0e,fd519df1b69e24edb1e76b75e3c2fbe5bec7daf1d82ddba74e144187302bec0e,31969abe8799b1846c488d3f7fca558af79875c7eb90ab76db7a6b62ad263305,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_qwen35_9b_scaffold_v0_dev_run_002,Mbpp/633,33,1140aa2a370032e37cef9f288f53ab5c97280c0ec2f1e9defe258d33602d7001,P1_Generic_Code_Scaffold_v0,fail,fail,pass,pass,failure,failure,false,false,c0762e152176572f12ee51d16c6cfad946e552a7915f2b2cdd6cdaad2b314586,c0762e152176572f12ee51d16c6cfad946e552a7915f2b2cdd6cdaad2b314586,31969abe8799b1846c488d3f7fca558af79875c7eb90ab76db7a6b62ad263305,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_qwen35_9b_scaffold_v0_dev_run_002,Mbpp/633,44,9c6e82f86eb7f9df40b9254e2f337cfc743aea6f3742db971726f23747472bde,P1_Generic_Code_Scaffold_v0,fail,fail,pass,pass,failure,failure,false,false,fd519df1b69e24edb1e76b75e3c2fbe5bec7daf1d82ddba74e144187302bec0e,fd519df1b69e24edb1e76b75e3c2fbe5bec7daf1d82ddba74e144187302bec0e,31969abe8799b1846c488d3f7fca558af79875c7eb90ab76db7a6b62ad263305,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_qwen35_9b_scaffold_v0_dev_run_002,Mbpp/633,55,4edef415fbd2c456a14929b72f50afa25515832175783db21e2302ce4cdae85b,P1_Generic_Code_Scaffold_v0,fail,fail,pass,pass,failure,failure,false,false,0e1996a315a35c1b902ff3b0e6d5207253991d7e3d2c30cacb6316a64b772939,0e1996a315a35c1b902ff3b0e6d5207253991d7e3d2c30cacb6316a64b772939,31969abe8799b1846c488d3f7fca558af79875c7eb90ab76db7a6b62ad263305,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_qwen35_9b_scaffold_v0_dev_run_002,Mbpp/769,11,e09154753fd09ee8db4c13c0beaa0341da6d303b8b4e5c21a3c3e5ca131df9eb,P1_Generic_Code_Scaffold_v0,fail,fail,pass,pass,failure,failure,false,false,a1c7850c7c2add56792dbeda4eff8fa8d26e2fe81e985013a4473ca9678020a2,a1c7850c7c2add56792dbeda4eff8fa8d26e2fe81e985013a4473ca9678020a2,31969abe8799b1846c488d3f7fca558af79875c7eb90ab76db7a6b62ad263305,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_qwen35_9b_scaffold_v0_dev_run_002,Mbpp/769,22,053debd5ae49f323be3ce439ff14a6108921fc8f27380ea8ffca15334b7bc046,P1_Generic_Code_Scaffold_v0,fail,fail,pass,pass,failure,failure,false,false,99edaa781a27a5c4c40cd8520ed5adbd88adadc91f08d3b8d56c41652c3a57dc,99edaa781a27a5c4c40cd8520ed5adbd88adadc91f08d3b8d56c41652c3a57dc,31969abe8799b1846c488d3f7fca558af79875c7eb90ab76db7a6b62ad263305,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_qwen35_9b_scaffold_v0_dev_run_002,Mbpp/769,33,5c5e872f02a490ba107ada9c6974fa7b7be26efd5ec50b770858671592b8080c,P1_Generic_Code_Scaffold_v0,fail,fail,pass,pass,failure,failure,false,false,a1c7850c7c2add56792dbeda4eff8fa8d26e2fe81e985013a4473ca9678020a2,a1c7850c7c2add56792dbeda4eff8fa8d26e2fe81e985013a4473ca9678020a2,31969abe8799b1846c488d3f7fca558af79875c7eb90ab76db7a6b62ad263305,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_qwen35_9b_scaffold_v0_dev_run_002,Mbpp/769,44,793eabfab1d082ed4ab082ea9b637613e55e71115892973b3c7e611c3c3b4a3c,P1_Generic_Code_Scaffold_v0,fail,fail,pass,pass,failure,failure,false,false,a1c7850c7c2add56792dbeda4eff8fa8d26e2fe81e985013a4473ca9678020a2,a1c7850c7c2add56792dbeda4eff8fa8d26e2fe81e985013a4473ca9678020a2,31969abe8799b1846c488d3f7fca558af79875c7eb90ab76db7a6b62ad263305,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_qwen35_9b_scaffold_v0_dev_run_002,Mbpp/769,55,1c16efd38354152c0b57c3aec190bb3001bdc0dbf26777a48346904aa5dde30e,P1_Generic_Code_Scaffold_v0,fail,fail,pass,pass,failure,failure,false,false,a1c7850c7c2add56792dbeda4eff8fa8d26e2fe81e985013a4473ca9678020a2,a1c7850c7c2add56792dbeda4eff8fa8d26e2fe81e985013a4473ca9678020a2,31969abe8799b1846c488d3f7fca558af79875c7eb90ab76db7a6b62ad263305,0.3.1,evalplus_0.3.1_check_correctness_subset
