item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,student_input_test,student_input_result,exec_time
4503389c-6b52-4c8f-bb2b-18d66541e5a3,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,1,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f''(x) = 60x^3-24x^2-18x
f^(4)(x) = 360x-48","f''(x) = 60x^3-24x^2-18x
f^(4)(x) = 360x-48",ERROR,ValueError: max() iterable argument is empty,0,10,6,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0001
bfc76f12-9952-4eca-a178-128c508f56b6,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,2,,,,ERROR,ValueError: Sample larger than population or is negative,0,0,0,0,0,0,0,0,0,,,
3b8411fe-efe5-40b9-87fc-4bd562f85022,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,3,,,,ERROR,ValueError: Sample larger than population or is negative,0,0,0,0,0,0,0,0,0,,,
e989ce59-9d42-4dba-8044-4afc26289926,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,4,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f^(3)(x) = 192x+6
f^(4)(x) = 192","f^(3)(x) = 192x+6
f^(4)(x) = 192",ERROR,ValueError: max() iterable argument is empty,0,10,6,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0001
4da62901-23d0-4f03-adda-a4ee48e859d3,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,5,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f''(x) = 80x^3+96x^2-4
f^(4)(x) = 480x+192","f''(x) = 80x^3+96x^2-4
f^(4)(x) = 480x+192",ERROR,ValueError: max() iterable argument is empty,0,10,6,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
738d2e32-17e3-4915-b75a-2e15a360ea98,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,6,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f'(x) = 18x^2-4x+6,f'(x) = 18x^2-4x+6,ERROR,ValueError: max() iterable argument is empty,0,10,7,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
93756859-66be-42b3-96dc-dfb924381c59,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,7,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f''(x) = 80x^3-6x-8
f^(3)(x) = 240x^2-6","f''(x) = 80x^3-6x-8
f^(3)(x) = 240x^2-6",ERROR,ValueError: max() iterable argument is empty,0,10,6,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
463786eb-ee42-403a-b1c2-7b8fbb1f115e,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,8,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,"f'(x) = 40x^4-12x^3+4x-7
f^(4)(x) = 960x-72","f'(x) = 40x^4-12x^3+4x-7
f^(4)(x) = 960x-72",ERROR,ValueError: max() iterable argument is empty,0,10,3,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
4c1b8ff9-db35-4992-bf07-45718944bf68,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,9,,,,ERROR,ValueError: Sample larger than population or is negative,0,0,0,0,0,0,0,0,0,,,
701818f4-5985-4612-8c58-f19b13f4d00d,42410d42-054e-4a21-a8cd-4e1c77b2d8cf,10,已知 __ $LATEX$ _ $BLOCK$ _ $0$ __，求 __ $LATEX$ _ $BLOCK$ _ $1$ __。,f''(x) = 18x+4,f''(x) = 18x+4,ERROR,ValueError: max() iterable argument is empty,0,10,10,30,15,15,0,0,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
