task_id,seed,generation_id,strict_output_compliance,generation_protocol_compliance,code_fence_marker_count,extra_text,multiple_program_segments,raw_compile_status,raw_compile_diagnostic,pipeline_compile_status,raw_entry_point_status,pipeline_entry_point_status,termination_status,done_reason,extraction_status,extraction_action,reasoning_leakage,functional_correctness,format_violations,reproducible_diagnostic
Mbpp/748,11,cacf39e6340f334335acda2f859e294c687fec0bbe111237b3cb449ee702cc43,false,true,0,false,false,fail,SyntaxError:expected an indented block after 'for' statement on line 23:line=27:offset=5,fail,not_assessed_compile_fail,not_assessed_compile_fail,length_terminated,length,extracted,pass_through:plain_text,false,fail,generation_length_termination|raw_not_python_compilable,violations=generation_length_termination|raw_not_python_compilable;SyntaxError:expected an indented block after 'for' statement on line 23:line=27:offset=5;done_reason=length
Mbpp/759,55,deacf9fb8e8b11cb8983dd3ca966ea2f9032f072bf5e1e005fad5450607dde26,false,true,0,false,false,fail,SyntaxError:expected an indented block after 'else' statement on line 70:line=76:offset=4,fail,not_assessed_compile_fail,not_assessed_compile_fail,stop_complete,stop,extracted,pass_through:plain_text,false,fail,raw_not_python_compilable,violations=raw_not_python_compilable;SyntaxError:expected an indented block after 'else' statement on line 70:line=76:offset=4;done_reason=stop
Mbpp/430,33,02fb6deccf752f23de0f600cd40eba0980ce10b5b9a256c341667c8872d0fedc,false,true,0,false,false,fail,SyntaxError:unterminated triple-quoted string literal (detected at line 97):line=4:offset=5,fail,not_assessed_compile_fail,not_assessed_compile_fail,length_terminated,length,extracted,pass_through:plain_text,false,fail,generation_length_termination|raw_not_python_compilable,violations=generation_length_termination|raw_not_python_compilable;SyntaxError:unterminated triple-quoted string literal (detected at line 97):line=4:offset=5;done_reason=length
Mbpp/430,44,ee8b57d48679cf202a7a1487bde8d750919e74a34fa593a88239f62f9fdbd14a,false,true,0,false,false,fail,SyntaxError:unterminated triple-quoted string literal (detected at line 124):line=2:offset=5,fail,not_assessed_compile_fail,not_assessed_compile_fail,length_terminated,length,extracted,pass_through:plain_text,false,fail,generation_length_termination|raw_not_python_compilable,violations=generation_length_termination|raw_not_python_compilable;SyntaxError:unterminated triple-quoted string literal (detected at line 124):line=2:offset=5;done_reason=length
Mbpp/430,55,a3e6c64fc92820e86204e6c32713e81457f3aa90388e2f698f36b05527cba204,false,true,0,false,false,pass,compile_ok,pass,present,present,length_terminated,length,extracted,pass_through:plain_text,false,fail,generation_length_termination,violations=generation_length_termination;compile_ok;done_reason=length
Mbpp/67,11,f2824a328dc6362f69e48fc7c41bb21bc24bd2331edc93dbae359691f79c834c,false,true,0,false,false,fail,SyntaxError:expected an indented block after 'elif' statement on line 54:line=58:offset=8,fail,not_assessed_compile_fail,not_assessed_compile_fail,length_terminated,length,extracted,pass_through:plain_text,false,fail,generation_length_termination|raw_not_python_compilable,violations=generation_length_termination|raw_not_python_compilable;SyntaxError:expected an indented block after 'elif' statement on line 54:line=58:offset=8;done_reason=length
Mbpp/67,22,ef4ce941b174958087fed6064537ba440a68f13586afeb0453854cba8056ec44,false,true,0,false,false,fail,SyntaxError:expected ':':line=236:offset=14,fail,not_assessed_compile_fail,not_assessed_compile_fail,length_terminated,length,extracted,pass_through:plain_text,false,fail,generation_length_termination|raw_not_python_compilable,violations=generation_length_termination|raw_not_python_compilable;SyntaxError:expected ':':line=236:offset=14;done_reason=length
Mbpp/67,33,6792b7dd134c81f05b9d31cce888520f845da6d74a383ab8ed53a5bad0fe4fa1,false,true,0,false,false,fail,SyntaxError:'(' was never closed:line=258:offset=19,fail,not_assessed_compile_fail,not_assessed_compile_fail,length_terminated,length,extracted,pass_through:plain_text,false,fail,generation_length_termination|raw_not_python_compilable,violations=generation_length_termination|raw_not_python_compilable;SyntaxError:'(' was never closed:line=258:offset=19;done_reason=length
Mbpp/67,44,b63d746f4aa31a9c141a2c0b47334ae8634f02d8d1147ba44f3180ca7f5e599d,false,true,0,false,false,pass,compile_ok,pass,present,present,length_terminated,length,extracted,pass_through:plain_text,false,fail,generation_length_termination,violations=generation_length_termination;compile_ok;done_reason=length
Mbpp/67,55,70d127bf58920f59fe1371f0129554c1612066692962a395cfe9f6dd122245cf,false,true,0,false,false,fail,SyntaxError:expected an indented block after 'for' statement on line 189:line=189:offset=122,fail,not_assessed_compile_fail,not_assessed_compile_fail,length_terminated,length,extracted,pass_through:plain_text,false,fail,generation_length_termination|raw_not_python_compilable,violations=generation_length_termination|raw_not_python_compilable;SyntaxError:expected an indented block after 'for' statement on line 189:line=189:offset=122;done_reason=length
Mbpp/432,11,3b580361d4df8bef178b7bc5056b747c9a75f10aef70b1eb665b21678ae2decf,false,true,0,false,false,fail,SyntaxError:unterminated triple-quoted string literal (detected at line 56):line=2:offset=5,fail,not_assessed_compile_fail,not_assessed_compile_fail,stop_complete,stop,extracted,pass_through:plain_text,false,fail,raw_not_python_compilable,violations=raw_not_python_compilable;SyntaxError:unterminated triple-quoted string literal (detected at line 56):line=2:offset=5;done_reason=stop
Mbpp/14,22,847ca4a4187d93f8fe925f3490a17ae696895ea54a39c19268a5ab328d36b1db,false,true,0,false,false,fail,SyntaxError:expected an indented block after 'if' statement on line 7:line=14:offset=1,fail,not_assessed_compile_fail,not_assessed_compile_fail,stop_complete,stop,extracted,pass_through:plain_text,false,fail,raw_not_python_compilable,violations=raw_not_python_compilable;SyntaxError:expected an indented block after 'if' statement on line 7:line=14:offset=1;done_reason=stop
Mbpp/622,11,91d8c90d51c785308231379abe45a2ab1f7e231781445ae37f51a47540501edb,false,true,0,false,false,fail,SyntaxError:expected an indented block after 'if' statement on line 23:line=26:offset=4,fail,not_assessed_compile_fail,not_assessed_compile_fail,length_terminated,length,extracted,pass_through:plain_text,false,fail,generation_length_termination|raw_not_python_compilable,violations=generation_length_termination|raw_not_python_compilable;SyntaxError:expected an indented block after 'if' statement on line 23:line=26:offset=4;done_reason=length
Mbpp/119,44,2bc6b277a5e932c6781628d5e289f42fdc538aab7c3155f636dabe26d72583d6,false,true,0,false,false,fail,SyntaxError:expected an indented block after 'elif' statement on line 20:line=32:offset=9,fail,not_assessed_compile_fail,not_assessed_compile_fail,length_terminated,length,extracted,pass_through:plain_text,false,fail,generation_length_termination|raw_not_python_compilable,violations=generation_length_termination|raw_not_python_compilable;SyntaxError:expected an indented block after 'elif' statement on line 20:line=32:offset=9;done_reason=length
