item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
2e8574ce-e0ea-4574-a8f0-d431a9dd427b,8f3a2fa1-6d94-41bf-b491-0bb58c38fa3d,1,計算 [(-4)+8]÷2×1-|7×10+1| 的值。,,-69,PASS,,1,6.0,7.5,20.0,10.0,10.0,14.2,5,3,5,1.2,34.2,0.0,0.0,True,15,0.0,6,0,368,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
4141fbd2-c7fa-41aa-92bb-a4728c94c6d8,8f3a2fa1-6d94-41bf-b491-0bb58c38fa3d,2,計算 [10+(-35)]÷(-5)×1+|(-9)×5-5| 的值。,,55,PASS,,1,6.0,7.5,20.0,10.0,10.0,14.4,5,3,5,1.4,34.4,0.0,0.0,True,15,0.0,7,0,368,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
b9d821bc-17e9-4918-8fbf-2bd245f47401,8f3a2fa1-6d94-41bf-b491-0bb58c38fa3d,3,計算 [(-21)+27]÷1×5-|2×7+24| 的值。,,-8,PASS,,1,6.0,7.5,20.0,10.0,10.0,14.2,5,3,5,1.2,34.2,0.0,0.0,True,15,0.0,6,0,368,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
8788f904-7cfc-43d1-9fe0-c453b9b0139b,5c01334e-4d3a-489a-a08a-dd35e19e3bad,1,計算 [1+(-11)]÷5×4-|(-1)×1+11| 的值。,,-18,PASS,,1,6.0,7.5,20.0,10.0,10.0,14.4,5,3,5,1.4,34.4,0.0,0.0,True,15,0.0,7,0,394,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
cab8c1ef-5699-441b-b525-62c8d10c8f47,5c01334e-4d3a-489a-a08a-dd35e19e3bad,2,計算 [19+(-18)]÷1×(-8)-|9×(-10)+18| 的值。,,-80,PASS,,1,6.0,7.5,20.0,10.0,10.0,14.6,5,3,5,1.6,34.6,0.0,0.0,True,15,0.0,8,0,394,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
8fcec968-c026-4cb8-9062-3ea7d5a050e7,5c01334e-4d3a-489a-a08a-dd35e19e3bad,3,計算 [(-5)+45]÷(-10)×3+|8×4-16| 的值。,,4,PASS,,1,6.0,7.5,20.0,10.0,10.0,14.2,5,3,5,1.2,34.2,0.0,0.0,True,15,0.0,6,0,394,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
b38cb2b8-7726-4ee0-9d3d-3171b6ce999a,dd1259a3-b4e6-416c-bb64-4ff1ccd1683a,1,計算 [25+(-53)]÷4×(-6)-|9×(-4)-24| 的值。,,-18,PASS,,1,6.0,7.5,20.0,10.0,10.0,14.8,5,3,5,1.8,34.8,0.0,0.0,True,15,0.0,9,0,477,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
7a48735c-9976-483d-a87b-aefb07903471,dd1259a3-b4e6-416c-bb64-4ff1ccd1683a,2,計算 [23+(-86)]÷9×(-3)+|(-11)×1-20| 的值。,,52,PASS,,1,6.0,7.5,20.0,10.0,10.0,14.4,5,3,5,1.4,34.4,0.0,0.0,True,15,0.0,7,0,477,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
5f7cf1d3-a036-4485-9cb9-2798c48c326d,dd1259a3-b4e6-416c-bb64-4ff1ccd1683a,3,計算 [(-18)+0]÷(-3)×3-|2×1+23| 的值。,,-7,PASS,,1,6.0,7.5,20.0,10.0,10.0,14.4,5,3,5,1.4,34.4,0.0,0.0,True,15,0.0,7,0,477,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
70300805-e090-432c-b175-44b649e3617c,9160d78f-2238-4973-adba-28a9e3574cff,1,計算 [(-7)+(11)]÷(-1)×(-2)+|1×(-6)-3| 的值。,,17,PASS,,1,6.0,7.5,20.0,10.0,10.0,14.6,5,3,5,1.6,34.6,0.0,0.0,True,15,0.0,8,0,357,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
90c4a0f9-aca1-47d1-a647-5a597190f93d,9160d78f-2238-4973-adba-28a9e3574cff,2,計算 [(-16)+(23)]÷7×4-|5×3-2| 的值。,,-9,PASS,,1,6.0,7.5,20.0,10.0,10.0,14.4,5,3,5,1.4,34.4,0.0,0.0,True,15,0.0,7,0,357,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,1.03
49cdc36c-7e19-47a5-8616-d71f68bd3b76,9160d78f-2238-4973-adba-28a9e3574cff,3,計算 [(-19)+(7)]÷(-2)×(-4)+|(-9)×(-6)+15| 的值。,,45,PASS,,1,6.0,7.5,20.0,10.0,10.0,14.6,5,3,5,1.6,34.6,0.0,0.0,True,15,0.0,8,0,357,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
f305cdb6-67b0-4e62-89a2-590e982e22d7,912f582a-01e7-4b1d-b0e0-b9b85e19551d,1,計算 [(0)+(90)]÷10×0-|-8×(-10)-8| 的值。,,-72,PASS,,1,6.0,7.5,20.0,10.0,10.0,14.6,5,3,5,1.6,34.6,0.0,0.0,True,15,0.0,8,0,309,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
2c5f68af-2e1c-4b9f-9ad8-85869a339cd7,912f582a-01e7-4b1d-b0e0-b9b85e19551d,2,計算 [(-4)+(-8)]÷3×(-9)+|-5×5-(-2)| 的值。,,59,PASS,,1,6.0,7.5,20.0,10.0,10.0,14.8,5,3,5,1.8,34.8,0.0,0.0,True,15,0.0,9,0,309,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
989c1787-4260-4c8c-af69-e5cc5d607496,912f582a-01e7-4b1d-b0e0-b9b85e19551d,3,計算 [(0)+(48)]÷(-6)×(-9)-|-6×(-10)-11| 的值。,,23,PASS,,1,6.0,7.5,20.0,10.0,10.0,14.8,5,3,5,1.8,34.8,0.0,0.0,True,15,0.0,9,0,309,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
86970b3d-7c59-46b9-a74b-91ae13441f53,a4b9635b-7457-4ee4-9af3-fbe630cf4bb8,1,計算 $\left[ (9 \div (-1)) - 7 \right] + \left| (-11) + 11 \right|$ 的值。,-16,-16,PASS,,1,7.5,7.5,20.0,10.0,10.0,14.4,5,3,5,1.4,34.4,0.0,0.0,True,15,0.0,7,0,3542,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
752cf472-8f97-418f-ae28-6e7ff775dd6d,a4b9635b-7457-4ee4-9af3-fbe630cf4bb8,2,計算 $\left[ (5 \times (-4)) + 8 \right] + \left| (-4) + 5 \right|$ 的值。,-11,-11,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.9,5,3,5,1.4,36.9,0.0,0.0,True,15,2.5,7,2,3542,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
ea3efa44-7422-402c-b56e-518bf705bedb,a4b9635b-7457-4ee4-9af3-fbe630cf4bb8,3,計算 $\left[ (0 \div 4) \times 6 \right] - \left| 8 - (-7) \right|$ 的值。,-15,-15,PASS,,1,7.5,7.5,20.0,10.0,10.0,13.6,5,3,5,0.6,33.6,0.0,0.0,True,15,0.0,3,0,3542,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.0
