item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
587da31f-f929-4dcf-a510-baf25235e5f0,bc9c3e79-20c3-4f8a-998d-44250d25a300,1,計算 $$[(-2) + (-108)] \div 10 + |(-20) \times 2 - 8|$$ 的值。,,37,PASS,,1,6.0,7.5,20.0,10.0,10.0,19.4,4,3,5,2.4,39.4,0.0,0.0,True,15,5.0,12,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
90b7c59e-1d83-4b44-8b02-0e1be1a05be1,bc9c3e79-20c3-4f8a-998d-44250d25a300,2,計算 $$[(-15) + (-12)] \div 9 + |2 \times (-3) - 9|$$ 的值。,,12,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.4,5,3,5,2.4,40.4,0.0,0.0,True,15,5.0,12,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
374193c4-7240-4a02-9606-d5b97bd8c1e1,bc9c3e79-20c3-4f8a-998d-44250d25a300,3,計算 $$[19 + 2] \div 3 + |(-9) \times (-10) - 4|$$ 的值。,,93,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.07
e017160f-95d8-470b-8438-63f6b7a6fb2a,3907cba3-6ae9-41c9-b317-c086dde94694,1,計算 $$[(-1) + 5] \div 4 + |(-6) \times 1 - 7|$$ 的值。,,14,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.07
14daf04b-68c3-403d-a8bf-d5e8b5d57279,3907cba3-6ae9-41c9-b317-c086dde94694,2,計算 $$[1 + 11] \div 2 + |20 \times 6 - 4|$$ 的值。,,122,PASS,,1,6.0,7.5,20.0,10.0,10.0,19.8,5,3,5,1.8,39.8,0.0,0.0,True,15,5.0,9,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.07
0052deb5-bd5b-4267-b7a4-d535b576d6a6,3907cba3-6ae9-41c9-b317-c086dde94694,3,計算 $$[(-3) + 73] \div 7 + |18 \times (-7) - 3|$$ 的值。,,139,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
53b5c751-c40a-4583-bc96-445d2d3795f3,ada9f43b-df08-4f5b-a091-1b9cfeb2b3b2,1,計算 $$[4 + (-103)] \div 9 + |(-4) \times 10 - 9|$$ 的值。,,38,PASS,,1,6.0,7.5,20.0,10.0,10.0,19.2,4,3,5,2.2,39.2,0.0,0.0,True,15,5.0,11,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.07
f85d4ba9-ba35-48ef-8a71-bff54ef0a0bd,ada9f43b-df08-4f5b-a091-1b9cfeb2b3b2,2,計算 $$[(-8) + (-127)] \div 9 + |(-18) \times (-2) - 9|$$ 的值。,,12,PASS,,1,6.0,7.5,20.0,10.0,10.0,19.6,4,3,5,2.6,39.6,0.0,0.0,True,15,5.0,13,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
551f8abb-d2ba-412c-83ab-4acfa90f83e0,ada9f43b-df08-4f5b-a091-1b9cfeb2b3b2,3,計算 $$[(-11) + (-4)] \div 5 + |(-17) \times (-4) - 6|$$ 的值。,,59,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.6,5,3,5,2.6,40.6,0.0,0.0,True,15,5.0,13,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
f672f859-1af9-40a0-a13a-752e2135b448,4558a561-c0f5-44a5-b876-15f6c3c9a7ac,1,計算 $$[(-6) + 210] \div 17 + |24 \times 1 - 9|$$ 的值。,,27,PASS,,1,6.0,7.5,20.0,10.0,10.0,19.0,4,3,5,2.0,39.0,0.0,0.0,True,15,5.0,10,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.07
784b38fa-a24d-4045-95a4-7ae771bcfb2f,4558a561-c0f5-44a5-b876-15f6c3c9a7ac,2,計算 $$[4 + (-94)] \div 18 + |(-1) \times 4 - 2|$$ 的值。,,1,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.07
b0af83a9-2605-4264-acd7-7856e4ed73e5,4558a561-c0f5-44a5-b876-15f6c3c9a7ac,3,計算 $$[34 + 86] \div 15 + |12 \times 6 - 10|$$ 的值。,,70,PASS,,1,6.0,7.5,20.0,10.0,10.0,19.8,5,3,5,1.8,39.8,0.0,0.0,True,15,5.0,9,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
e5dd2734-c6e1-4310-afd4-33c591f88898,bd4e4926-3c90-4378-8ceb-004a3ca75aab,1,計算 $$[(-18) + 102] \div 12 + |17 \times 3 - 9|$$ 的值。,,49,PASS,,1,6.0,7.5,20.0,10.0,10.0,19.0,4,3,5,2.0,39.0,0.0,0.0,True,15,5.0,10,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
b3144176-0ebc-4416-a6c5-93c0a95fe078,bd4e4926-3c90-4378-8ceb-004a3ca75aab,2,計算 $$[(-32) + (-108)] \div 14 + |(-32) \times (-4) - 8|$$ 的值。,,110,PASS,,1,6.0,7.5,20.0,10.0,10.0,19.6,4,3,5,2.6,39.6,0.0,0.0,True,15,5.0,13,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
74e82a73-5e7d-4753-ace3-caf73212535b,bd4e4926-3c90-4378-8ceb-004a3ca75aab,3,計算 $$[(-18) + (-82)] \div 20 + |6 \times (-10) - 4|$$ 的值。,,59,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.4,5,3,5,2.4,40.4,0.0,0.0,True,15,5.0,12,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
06298a76-a622-4842-a88e-214fac87583c,b89bd32f-1803-41eb-a559-5917204bfa1c,1,計算 $$[(-45) + 33] \div 3 + |23 \times (-7) - 8|$$ 的值。,,165,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
9c7ee120-90ed-4ba6-a959-c47a6aa307b9,b89bd32f-1803-41eb-a559-5917204bfa1c,2,計算 $$[30 + 82] \div 8 + |(-38) \times 2 - 10|$$ 的值。,,100,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.0,5,3,5,2.0,40.0,0.0,0.0,True,15,5.0,10,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
ed578c17-3946-4410-8c3e-5f9e74eec128,b89bd32f-1803-41eb-a559-5917204bfa1c,3,計算 $$[(-32) + (-13)] \div 9 + |13 \times (-9) - 6|$$ 的值。,,118,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.4,5,3,5,2.4,40.4,0.0,0.0,True,15,5.0,12,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
4f34adcb-dc28-4ca3-b5c6-068459771571,1b4dc50d-dd9b-4bfe-a94b-d70e1784a1dd,1,計算 $$[(-70) + 124] \div 18 + |(-46) \times (-9) - 5|$$ 的值。,,412,PASS,,1,6.0,7.5,20.0,10.0,10.0,19.4,4,3,5,2.4,39.4,0.0,0.0,True,15,5.0,12,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.07
fd6d0735-c224-44f1-b9f6-acaba79bc3e8,1b4dc50d-dd9b-4bfe-a94b-d70e1784a1dd,2,計算 $$[69 + (-55)] \div 14 + |(-43) \times (-8) - 8|$$ 的值。,,337,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.4,5,3,5,2.4,40.4,0.0,0.0,True,15,5.0,12,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.07
d1b72977-8ed7-4efb-8655-f7b61daeb65c,1b4dc50d-dd9b-4bfe-a94b-d70e1784a1dd,3,計算 $$[(-26) + 356] \div 22 + |(-63) \times 1 - 1|$$ 的值。,,79,PASS,,1,6.0,7.5,20.0,10.0,10.0,19.2,4,3,5,2.2,39.2,0.0,0.0,True,15,5.0,11,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
89925b8a-a3bd-4a0a-a2e6-dffe2929bbea,70933a5a-07c3-4f6e-9739-d09545b3e22c,1,計算 $$[(-78) + 64] \div 7 + |13 \times (-7) - 5|$$ 的值。,,94,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.07
be300346-eac2-40d7-b307-034257d5fb11,70933a5a-07c3-4f6e-9739-d09545b3e22c,2,計算 $$[(-89) + 116] \div 9 + |(-53) \times (-3) - 9|$$ 的值。,,153,PASS,,1,6.0,7.5,20.0,10.0,10.0,19.4,4,3,5,2.4,39.4,0.0,0.0,True,15,5.0,12,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
4314c74d-83c0-49df-814a-42666d00bb01,70933a5a-07c3-4f6e-9739-d09545b3e22c,3,計算 $$[(-98) + 306] \div 26 + |5 \times 7 - 8|$$ 的值。,,35,PASS,,1,6.0,7.5,20.0,10.0,10.0,19.0,4,3,5,2.0,39.0,0.0,0.0,True,15,5.0,10,4,3238,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
